公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,薪资,职位福利,经营范围,职位类型,公司福利,第二职位类型,城市
亿达信息技术（深圳）有限公司,YIDATEC,2000人以上,不需要融资,南山区,Python,3-5年,本科,13k-16k,六险一金，双休制，年终奖,"移动互联网,游戏",开发|测试|运维类,[],后端开发,深圳
杭州知衣科技有限公司,知衣科技,50-150人,A轮,萧山区,Python,1-3年,本科,20k-35k,大牛团队 大数据产品,"移动互联网,电商",开发|测试|运维类,"['大牛团队', '扁平管理', '年底双薪', '股票期权']",后端开发,杭州
广州微宽信息技术有限公司,微宽信息,15-50人,不需要融资,海珠区,Python工程师,1-3年,大专,10k-15k,五险一金、带薪年假、节日福利、餐补,"移动互联网,金融",开发|测试|运维类,"['带薪年假', '午餐补助', '周末双休', '五险一金']",后端开发,广州
深度好奇（北京）科技有限公司,深度好奇,15-50人,天使轮,海淀区,Python工程师,不限,本科,12k-24k,五险一金，年底13薪，周末双休，零食供应,"企业服务,数据服务",开发|测试|运维类,"['机器学习', '深度学习', '自然语言处理', 'NLP']",后端开发,北京
深圳市法本信息技术股份有限公司,法本信息,2000人以上,上市公司,南山区,Python开发,1-3年,本科,7k-10k,包三餐,"企业服务,软件开发",开发|测试|运维类,[],后端开发,深圳
光之树（北京）科技有限公司,光之树科技,15-50人,A轮,杨浦区,Python,3-5年,不限,20k-35k,金融科技 前沿技术 跨国团队 技术大牛,"金融,数据服务",开发|测试|运维类,"['带薪年假', '绩效奖金', '定期体检', '弹性工作']",后端开发,上海
广州回头车信息科技有限公司,省省回头车,150-500人,A轮,福田区,python,3-5年,本科,15k-30k,五险一金 年底双薪 五天八小时,消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",后端开发,深圳
广州回头车信息科技有限公司,省省回头车,150-500人,A轮,天河区,python,3-5年,本科,15k-30k,五险一金 年底双薪,消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",后端开发,广州
广州回头车信息科技有限公司,省省回头车,150-500人,A轮,天河区,python,1-3年,本科,10k-20k,五险一金 年底双薪,消费生活,开发|测试|运维类,"['五险一金', '带薪年假', '年度旅游', '岗位晋升']",后端开发,广州
深圳市有鱼智能科技有限公司,有鱼智能科技,150-500人,上市公司,福田区,python开发,1-3年,本科,12k-20k,"上市公司,有转正机会,福利好,发展空间大","移动互联网,金融",开发|测试|运维类,"['节日礼物', '股票期权', '带薪年假', '绩效奖金']",后端开发,深圳
北京缔联科技有限公司,缔联科技,50-150人,B轮,海淀区,python,3-5年,大专,15k-30k,六险一金，十三薪，下午茶，团建，弹性打卡,企业服务,开发|测试|运维类,"['年底双薪', '节日礼物', '年度旅游', '岗位晋升']",后端开发,北京
上海大岂网络科技有限公司,MoSeeker仟寻,150-500人,B轮,,python工程师,3-5年,本科,12k-20k,福利多多 技术大牛多 超长年假,移动互联网,开发|测试|运维类,"['带薪年假', '年终分红', '节日礼物', '技能培训']",后端开发,上海
上海华钦信息科技股份有限公司,CLPS,500-2000人,未融资,浦东新区,python,3-5年,本科,16k-25k,"待遇高,环境好,有前景","数据服务,金融",开发|测试|运维类,"['专项奖金', '带薪年假', '定期体检', '交通补助']",后端开发,上海
